day_index,date,day_of_week,month,usage_gb,pct_change_prev_day
1,2025-11-17,Monday,November,17.49,NaN
2,2025-11-18,Tuesday,November,13.31,-23.8994
3,2025-11-19,Wednesday,November,6.95,-47.7836
4,2025-11-20,Thursday,November,12.14,74.6763
5,2025-11-21,Friday,November,10.10,-16.8040
6,2025-11-22,Saturday,November,6.61,-34.5545
7,2025-11-23,Sunday,November,17.30,161.7247
8,2025-11-24,Monday,November,23.19,34.0462
9,2025-11-25,Tuesday,November,13.31,-42.6046
10,2025-11-26,Wednesday,November,18.74,40.7964
11,2025-11-27,Thursday,November,13.60,-27.4280
12,2025-11-28,Friday,November,15.84,16.4706
13,2025-11-29,Saturday,November,11.48,-27.5253
14,2025-11-30,Sunday,November,22.07,92.2474
15,2025-12-01,Monday,December,12.32,-44.1776
16,2025-12-02,Tuesday,December,14.36,16.5584
17,2025-12-03,Wednesday,December,14.59,1.6017
18,2025-12-04,Thursday,December,13.05,-10.5552
19,2025-12-05,Friday,December,15.15,16.0920
20,2025-12-06,Saturday,December,18.55,22.4422
21,2025-12-07,Sunday,December,19.61,5.7143
22,2025-12-08,Monday,December,14.35,-26.8230
23,2025-12-09,Tuesday,December,10.18,-29.0592
24,2025-12-10,Wednesday,December,13.86,36.1493
25,2025-12-11,Thursday,December,9.75,-29.6537
26,2025-12-12,Friday,December,13.99,43.4872
27,2025-12-13,Saturday,December,22.32,59.5425
28,2025-12-14,Sunday,December,44.74,100.4480
29,2025-12-15,Monday,December,33.21,-25.7711
30,2025-12-16,Tuesday,December,9.88,-70.2499
31,2025-12-17,Wednesday,December,18.50,87.2470
32,2025-12-18,Thursday,December,22.22,20.1081
33,2025-12-19,Friday,December,14.41,-35.1485
34,2025-12-20,Saturday,December,14.15,-1.8043
35,2025-12-21,Sunday,December,24.99,76.6078
36,2025-12-22,Monday,December,17.24,-31.0124
37,2025-12-23,Tuesday,December,20.41,18.3875
38,2025-12-24,Wednesday,December,18.90,-7.3983
39,2025-12-25,Thursday,December,12.05,-36.2434
40,2025-12-26,Friday,December,25.77,113.8589
41,2025-12-27,Saturday,December,22.55,-12.4951
42,2025-12-28,Sunday,December,20.41,-9.4900
43,2025-12-29,Monday,December,19.50,-4.4586
44,2025-12-30,Tuesday,December,35.42,81.6410
45,2025-12-31,Wednesday,December,23.79,-32.8346
46,2026-01-01,Thursday,January,15.52,-34.7625
47,2026-01-02,Friday,January,17.91,15.3995
48,2026-01-03,Saturday,January,33.69,88.1072
49,2026-01-04,Sunday,January,26.11,-22.4993
50,2026-01-05,Monday,January,21.24,-18.6519
51,2026-01-06,Tuesday,January,20.63,-2.8719
52,2026-01-07,Wednesday,January,8.10,-60.7368
53,2026-01-08,Thursday,January,19.95,146.2963
54,2026-01-09,Friday,January,13.68,-31.4286
55,2026-01-10,Saturday,January,15.55,13.6696
56,2026-01-11,Sunday,January,9.01,-42.0579
57,2026-01-12,Monday,January,7.10,-21.1987
58,2026-01-13,Tuesday,January,10.51,48.0282
59,2026-01-14,Wednesday,January,8.31,-20.9324
60,2026-01-15,Thursday,January,6.38,-23.2250
61,2026-01-16,Friday,January,2.51,-60.6583
62,2026-01-17,Saturday,January,12.46,396.4143
63,2026-01-18,Sunday,January,5.87,-52.8892
64,2026-01-19,Monday,January,7.36,25.3833
65,2026-01-20,Tuesday,January,7.33,-0.4076
66,2026-01-21,Wednesday,January,6.53,-10.9141
67,2026-01-22,Thursday,January,14.35,119.7550
68,2026-01-23,Friday,January,8.69,-39.4425
69,2026-01-24,Saturday,January,12.07,38.8953
